"","s_code","s_name","s_description","s_resource_code","s_sensor_type_code","s_table_name","s_table_type","s_x_offset","s_y_offset","s_z_offset","s_datum_code","s_datum_value","s_graph_value","s_min_value_1","s_max_value_1","s_min_value_2","s_max_value_2","s_min_value_3","s_max_value_3","s_min_value_4","s_max_value_4","s_min_value_5","s_max_value_5","deleted","datestamp"
"574",562,"scevo.data.bom.idy.ocean_reef.downsampled.15min.dew_point","scevo.data.bom.idy.ocean_reef.downsampled.15min.dew_point",27,4,"sensor_repository_00562","SAMPLED",0,0,0,2,0,"Dew Point Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:40
"575",588,"scevo.data.bom.idy.perth_airport.downsampled.30min.Rainfall_9am","scevo.data.bom.idy.perth_airport.downsampled.30min.Rainfall_9am",28,8,"sensor_repository_00588","SAMPLED",0,0,0,2,0,"Rainfall since 9 am",0,200,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:44
"576",589,"scevo.data.bom.idy.perth_airport.downsampled.30min.rainfall","scevo.data.bom.idy.perth_airport.downsampled.30min.rainfall",28,7,"sensor_repository_00589","SAMPLED",0,0,0,2,0,"Rainfall (MM)",0,100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:44
"577",590,"scevo.data.bom.idy.perth_airport.downsampled.1hr.wind_speed","scevo.data.bom.idy.perth_airport.downsampled.1hr.wind_speed",28,1,"sensor_repository_00590","SAMPLED",0,0,0,2,0,"Wind Speed (knots)",0,30,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:44
"578",591,"scevo.data.bom.idy.perth_airport.downsampled.1hr.wind_direction","scevo.data.bom.idy.perth_airport.downsampled.1hr.wind_direction",28,2,"sensor_repository_00591","SAMPLED",0,0,0,2,0,"Wind Direction",0,360,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:44
"579",592,"scevo.data.bom.idy.perth_airport.downsampled.1hr.air_temperature","scevo.data.bom.idy.perth_airport.downsampled.1hr.air_temperature",28,3,"sensor_repository_00592","SAMPLED",0,0,0,2,0,"Air Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:45
"580",593,"scevo.data.bom.idy.perth_airport.downsampled.1hr.dew_point","scevo.data.bom.idy.perth_airport.downsampled.1hr.dew_point",28,4,"sensor_repository_00593","SAMPLED",0,0,0,2,0,"Dew Point Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:45
"581",594,"scevo.data.bom.idy.perth_airport.downsampled.1hr.atmpress","scevo.data.bom.idy.perth_airport.downsampled.1hr.atmpress",28,5,"sensor_repository_00594","SAMPLED",0,0,0,2,0,"Atmospheric Pressure QNH (hPa)",990,1100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:45
"582",595,"scevo.data.bom.idy.perth_airport.downsampled.1hr.Rainfall_9am","scevo.data.bom.idy.perth_airport.downsampled.1hr.Rainfall_9am",28,8,"sensor_repository_00595","SAMPLED",0,0,0,2,0,"Rainfall since 9 am",0,200,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:45
"583",596,"scevo.data.bom.idy.perth_airport.downsampled.1hr.rainfall","scevo.data.bom.idy.perth_airport.downsampled.1hr.rainfall",28,7,"sensor_repository_00596","SAMPLED",0,0,0,2,0,"Rainfall (MM)",0,100,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:45
"584",597,"scevo.data.bom.idy.perth_metro.raw.wind_speed","scevo.data.bom.idy.perth_metro.raw.wind_speed",29,1,"sensor_repository_00597","RAW",0,0,0,2,0,"Wind Speed (knots)",0,30,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:46
"585",598,"scevo.data.bom.idy.perth_metro.raw.wind_direction","scevo.data.bom.idy.perth_metro.raw.wind_direction",29,2,"sensor_repository_00598","RAW",0,0,0,2,0,"Wind Direction",0,360,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:46
"586",599,"scevo.data.bom.idy.perth_metro.raw.air_temperature","scevo.data.bom.idy.perth_metro.raw.air_temperature",29,3,"sensor_repository_00599","RAW",0,0,0,2,0,"Air Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:46
"587",600,"scevo.data.bom.idy.perth_metro.raw.dew_point","scevo.data.bom.idy.perth_metro.raw.dew_point",29,4,"sensor_repository_00600","RAW",0,0,0,2,0,"Dew Point Temperature",0,50,-5000,5000,NA,NA,NA,NA,NA,NA,FALSE,2021-01-20 15:50:46
